MONTH ,DAY,YEAR,HOUR,TEMPERATURE,PRECIPITATION,STATUS
1,1,2009,600,24°C,0.5 mm,Moderate rain at times
1,1,2009,900,25°C,0.2 mm,Patchy rain possible
1,1,2009,1200,26°C,0.1 mm,Patchy rain possible
1,1,2009,1500,24°C,0.0 mm,Overcast
1,1,2009,1800,24°C,0.0 mm,Overcast
1,2,2009,600,23°C,0.0 mm,Overcast
1,2,2009,900,25°C, 0.0 mm,Overcast
1,2,2009,1200,24°C,0.0 mm,Overcast
1,2,2009,1500,24°C,0.0 mm,Overcast
1,2,2009,1800,23°C,0.0 mm,Overcast
1,3,2009,600,23°C,0.0 mm,Overcast
1,3,2009,900,23°C,0.0 mm,Overcast
1,3,2009,1200,24°C,0.0 mm,Partly cloudy
1,3,2009,1500,24°C,0.0 mm,Partly cloudy
1,3,2009,1800,23°C,0.0 mm,Partly cloudy
1,4,2009,600,23°C,0.0 mm,Overcast
1,4,2009,900,25°C,0.0 mm,Cloudy
1,4,2009,1200,26°C,0.0 mm,Cloudy
1,4,2009,1500,25°C,0.0 mm,Cloudy
1,4,2009,1800,23°C,0.0 mm,Cloudy
1,5,2009,600,23°C,0.0 mm,Cloudy
1,5,2009,900,25°C,0.0 mm,Overcast
1,5,2009,1200,26°C,0.0 mm,Overcast
1,5,2009,1500,25°C,0.0 mm,Overcast
1,5,2009,1800,24°C,0.0 mm,Cloudy
1,6,2009,600,24°C,0.0 mm,Overcast
1,6,2009,900,25°C,0.0 mm,Overcast
1,6,2009,1200,25°C,0.0 mm,Overcast
1,6,2009,1500,26°C,0.0 mm,Overcast
1,6,2009,1800,24°C,0.0 mm,Cloudy
1,7,2009,600,25°C,0.0 mm,Cloudy
1,7,2009,900,26°C,1.1 mm,Heavy rain at times
1,7,2009,1200,27°C,0.0 mm,Partly cloudy
1,7,2009,1500,26°C,0.0 mm,Cloudy
1,7,2009,1800,25°C,0.0 mm,Cloudy
1,8,2009,600,24°C,0.2 mm,Patchy rain possible
1,8,2009,900,25°C,1.7 mm,Moderate or heavy rain shower
1,8,2009,1200,26°C,0.0 mm,Overcast
1,8,2009,1500,24°C,2.7 mm,Moderate or heavy rain shower
1,8,2009,1800,24°C,0.0 mm,Overcast
1,9,2009,600,24°C,1.4 mm,Heavy rain at times
1,9,2009,900,24°C,0.2 mm,Patchy rain possible
1,9,2009,1200,25°C,0.2 mm,Patchy rain possible
1,9,2009,1500,24°C,1.5 mm,Moderate or heavy rain shower
1,9,2009,1800,23°C,0.2 mm,Patchy rain possible
1,10,2009,600,23°C,0.0 mm,Overcast
1,10,2009,900,23°C,0.0 mm,Overcast
1,10,2009,1200,23°C,0.0 mm,Overcast
1,10,2009,1500,23°C,0.0 mm,Overcast
1,10,2009,1800,22°C,0.0 mm,Overcast
1,11,2009,600,22°C,0.0 mm,Overcast
1,11,2009,900,23°C,0.0 mm,Cloudy
1,11,2009,1200,24°C,0.0 mm,Cloudy
1,11,2009,1500,23°C,0.0 mm,Cloudy
1,11,2009,1800,22°C,0.0 mm,Cloudy
1,12,2009,600,22°C,0.0 mm,Cloudy
1,12,2009,900,24°C,0.0 mm,Cloudy
1,12,2009,1200,25°C,0.0 mm,Cloudy
1,12,2009,1500,23°C,0.0 mm,Cloudy
1,12,2009,1800,22°C,0.0 mm,Overcast
1,13,2009,600,23°C,0.0 mm,Cloudy
