,horizon,mse,rmse,mae,mdape,smape,coverage
0,183 days,0.9953896028420176,0.9976921383082146,0.7747325258794453,0.02232612160965472,0.02794341264141812,0.7844748858447489
1,184 days,0.9977455061595256,0.9988721170197542,0.7758374152452651,0.02223502991036128,0.027976080290225178,0.7835616438356164
2,185 days,0.9973729118475841,0.9986855920897147,0.7754140626154498,0.02223502991036128,0.027954139889560373,0.7835616438356164
3,186 days,0.9972349954036924,0.9986165407220593,0.775313539392067,0.02223502991036128,0.02794547383052193,0.7835616438356164
4,187 days,0.999605887406886,0.9998029242840241,0.7764391129853435,0.02232612160965472,0.02797897806083816,0.782648401826484
5,188 days,1.0057205874579351,1.0028562147476252,0.7788162557617757,0.02234721560105449,0.02805989529459632,0.7817351598173516
6,189 days,1.0080189270303928,1.0040014576834004,0.7799365455723215,0.02232612160965472,0.02809220708609751,0.7812785388127854
7,190 days,1.0098036305128706,1.0048898598915559,0.7806602114406961,0.02232612160965472,0.028104924333309644,0.7808219178082192
8,191 days,1.0094529742555418,1.0047153697717288,0.7805968654767642,0.02232612160965472,0.02808585817179343,0.7817351598173516
9,192 days,1.0130985029265391,1.006527944434003,0.7820565106252233,0.02223502991036128,0.028121456362391686,0.7799086757990867
10,193 days,1.0156330775063453,1.0077862260947732,0.783439210871398,0.02232612160965472,0.028155834431260796,0.7785388127853882
11,194 days,1.0164362864983691,1.0081846490094803,0.783877663662771,0.022474264789596295,0.02815811057836343,0.7785388127853882
12,195 days,1.0230465215005622,1.0114576221970757,0.7870062159449682,0.022474264789596295,0.028263570385844004,0.7771689497716895
13,196 days,1.0274773856947008,1.0136455917601086,0.7900248303190832,0.022792957347156483,0.028361992493542227,0.7767123287671233
14,197 days,1.0332709041762116,1.01649933801071,0.7928241448251987,0.02287570897735778,0.028450531709205182,0.7744292237442922
15,198 days,1.0327996467946512,1.0162675074972392,0.7917288863420325,0.022755718748966456,0.02839041156456763,0.7757990867579909
16,199 days,1.031455255834748,1.0156058565382282,0.7918805455222575,0.02287570897735778,0.028370503330400372,0.776255707762557
17,200 days,1.029166170318345,1.0144782749366026,0.7917043954294638,0.02287570897735778,0.028343546725069904,0.7757990867579909
18,201 days,1.0249975675169987,1.0124216352473898,0.7895348812479493,0.02287570897735778,0.028252273361439633,0.7771689497716895
19,202 days,1.021358095523525,1.0106226276526393,0.7875944473681467,0.022784961426871912,0.028168326965960323,0.7789954337899543
20,203 days,1.0156214064681244,1.0077804356446518,0.7855084188821008,0.022792957347156483,0.028075704311759965,0.7812785388127854
21,204 days,1.0110568300252216,1.0055132172304955,0.7846105175520933,0.02287570897735778,0.028023084512189766,0.7821917808219178
22,205 days,1.0067102638646304,1.0033495222825546,0.783865985149991,0.022917499935687893,0.027977123308993178,0.782648401826484
23,206 days,1.0032101318468392,1.0016037798684863,0.7826921526568501,0.02287570897735778,0.027918828773545002,0.7835616438356164
24,207 days,0.9994708638347078,0.9997353969099563,0.7810421542476571,0.02287570897735778,0.027844920892365614,0.7849315068493151
25,208 days,0.9967245401202974,0.9983609267796378,0.7805078572917186,0.022917499935687893,0.027810851611642658,0.7863013698630137
26,209 days,1.691117768383994,1.3004298398544976,0.8035283213589296,0.02287570897735778,0.029540339120888322,0.7872146118721461
27,210 days,2.383586399456384,1.5438867832378074,0.8257979993015887,0.022792957347156483,0.03124463591334324,0.7876712328767124
28,211 days,3.0799259706083433,1.7549717862713188,0.8500335624447877,0.022784961426871912,0.03301804537570698,0.7863013698630137
29,212 days,3.0784491495075184,1.7545509823050223,0.8492179163033207,0.022755718748966456,0.03297465753579038,0.7867579908675799
30,213 days,3.078216477025924,1.754484675631544,0.8487882777767795,0.022592667669352567,0.032950293000042534,0.7872146118721461
31,214 days,3.083341661283783,1.7559446635027491,0.8508542386306985,0.022784961426871912,0.03301790992290302,0.7867579908675799
32,215 days,3.0891431092819728,1.7575958321758653,0.8538697037673864,0.022945098683408206,0.03312287158971243,0.7853881278538812
33,216 days,3.0896738224676787,1.757746802718662,0.8539167030457175,0.022945098683408206,0.033117805246379146,0.7849315068493151
34,217 days,3.0930504766245224,1.758707046845643,0.8556095886141973,0.022978480748022296,0.033172860773972065,0.7835616438356164
35,218 days,3.0942000632670954,1.7590338436957644,0.8567763857534014,0.022978480748022296,0.033202997150737185,0.7835616438356164
36,219 days,3.0944374101410834,1.7591013075263982,0.8577376157483813,0.022999982977080415,0.03322407108443586,0.7831050228310502
37,220 days,3.0963626694175854,1.7596484505200423,0.8597317738694253,0.02313328113073493,0.03328489343383615,0.7831050228310502
38,221 days,3.0991413238852092,1.7604378216469927,0.8617120121989118,0.023147887296828696,0.033344723414645505,0.7808219178082192
39,222 days,3.1033320654215477,1.761627675027146,0.8642728198316981,0.023270483590013144,0.03342531902002814,0.7794520547945205
40,223 days,3.111164363055194,1.7638493028190345,0.8685352121248311,0.023520292489732173,0.03356097322508048,0.7771689497716895
41,224 days,3.1085383797166735,1.7631047557410404,0.8693703675275224,0.02353481531378929,0.033571605247220276,0.7767123287671233
42,225 days,3.1018940462083613,1.7612194770125502,0.8687746796120481,0.02353481531378929,0.0335269734935111,0.7767123287671233
43,226 days,3.095730647626464,1.7594688538381305,0.8680031456975796,0.02353481531378929,0.03347449491321381,0.7776255707762557
44,227 days,3.0892225376420788,1.7576184277715339,0.8665460594421156,0.023588541135370285,0.03340173620773324,0.7799086757990867
45,228 days,3.0807407258887243,1.755203898664974,0.8632290587670697,0.023588541135370285,0.03326633281812867,0.7831050228310502
46,229 days,3.079268092577775,1.7547843436097141,0.8623786016151092,0.023520292489732173,0.03322280644161403,0.7831050228310502
47,230 days,3.0775088602593743,1.7542830046088271,0.8610653729048717,0.023294477156910975,0.033168627933587845,0.7835616438356164
48,231 days,3.0765732379012474,1.7540163163155715,0.8604434605766635,0.023168333464087473,0.03314134255246125,0.7840182648401827
49,232 days,3.0775914060190765,1.7543065313733164,0.8610338020093227,0.023168333464087473,0.03315837199877418,0.782648401826484
50,233 days,3.0703124160015705,1.752230697140525,0.8585132995889655,0.02303620584510337,0.03305564740640031,0.7844748858447489
51,234 days,3.063860239241918,1.7503885966384487,0.8563789014238351,0.02303620584510337,0.03296812904299842,0.7849315068493151
52,235 days,3.0575701879669115,1.7485909149846661,0.8539800294088977,0.022998198880382386,0.03287351503657631,0.7858447488584475
53,236 days,3.060974937885146,1.7495642137072722,0.8549897376561791,0.022978480748022296,0.03290739697148391,0.7844748858447489
54,237 days,3.0595405753053004,1.7491542457157117,0.8532075169917601,0.02287570897735778,0.03283760960190394,0.7849315068493151
55,238 days,3.0639510808291424,1.7504145454232098,0.8549149406192516,0.022945098683408206,0.03289415433972901,0.7840182648401827
56,239 days,3.0659219804620936,1.7509774357375636,0.8563784434268734,0.022999982977080415,0.032942469549572286,0.7831050228310502
57,240 days,3.0636280452815825,1.750322268978368,0.8551540988484128,0.022978480748022296,0.032890988634933,0.7831050228310502
58,241 days,3.0606088073008295,1.7494595757835703,0.8528766125439011,0.022792957347156483,0.032804204891722664,0.7840182648401827
59,242 days,3.054780793096613,1.74779312079451,0.8504169372265414,0.022755718748966456,0.03271076130282821,0.7840182648401827
60,243 days,3.0466314026627273,1.7454602266057875,0.8477448808076062,0.022755718748966456,0.032608130307284613,0.7849315068493151
